"Continent","Country","Date","Births","Gender"
"Africa","Cabo Verde","1980-01-01",243,"Female"
"Africa","Cabo Verde","1980-01-01",209,"Female"
"Africa","Cabo Verde","1980-02-01",253,"Female"
"Africa","Cabo Verde","1980-02-01",218,"Female"
"Africa","Cabo Verde","1980-03-01",246,"Female"
"Africa","Cabo Verde","1980-03-01",212,"Female"
"Africa","Cabo Verde","1980-04-01",239,"Female"
"Africa","Cabo Verde","1980-04-01",205,"Female"
"Africa","Cabo Verde","1980-05-01",239,"Female"
"Africa","Cabo Verde","1980-05-01",205,"Female"
"Africa","Cabo Verde","1980-06-01",220,"Female"
"Africa","Cabo Verde","1980-06-01",189,"Female"
"Africa","Cabo Verde","1980-07-01",181,"Female"
"Africa","Cabo Verde","1980-07-01",156,"Female"
"Africa","Cabo Verde","1980-08-01",239,"Female"
"Africa","Cabo Verde","1980-08-01",205,"Female"
"Africa","Cabo Verde","1980-09-01",250,"Female"
"Africa","Cabo Verde","1980-09-01",216,"Female"
"Africa","Cabo Verde","1980-10-01",260,"Female"
"Africa","Cabo Verde","1980-10-01",224,"Female"
"Africa","Cabo Verde","1980-11-01",226,"Female"
"Africa","Cabo Verde","1980-11-01",194,"Female"
"Africa","Cabo Verde","1980-12-01",183,"Female"
"Africa","Cabo Verde","1980-12-01",157,"Female"
"Africa","Cabo Verde","1982-01-01",280,"Female"
"Africa","Cabo Verde","1982-01-01",242,"Female"
"Africa","Cabo Verde","1982-02-01",250,"Female"
"Africa","Cabo Verde","1982-02-01",217,"Female"
"Africa","Cabo Verde","1982-03-01",270,"Female"
"Africa","Cabo Verde","1982-03-01",233,"Female"
"Africa","Cabo Verde","1982-04-01",259,"Female"
"Africa","Cabo Verde","1982-04-01",224,"Female"
"Africa","Cabo Verde","1982-05-01",252,"Female"
"Africa","Cabo Verde","1982-05-01",218,"Female"
"Africa","Cabo Verde","1982-06-01",233,"Female"
"Africa","Cabo Verde","1982-06-01",202,"Female"
"Africa","Cabo Verde","1982-07-01",239,"Female"
"Africa","Cabo Verde","1982-07-01",207,"Female"
"Africa","Cabo Verde","1982-08-01",253,"Female"
"Africa","Cabo Verde","1982-08-01",218,"Female"
"Africa","Cabo Verde","1982-09-01",292,"Female"
"Africa","Cabo Verde","1982-09-01",253,"Female"
"Africa","Cabo Verde","1982-10-01",299,"Female"
"Africa","Cabo Verde","1982-10-01",259,"Female"
"Africa","Cabo Verde","1982-11-01",255,"Female"
"Africa","Cabo Verde","1982-11-01",220,"Female"
"Africa","Cabo Verde","1982-12-01",291,"Female"
"Africa","Cabo Verde","1982-12-01",252,"Female"
"Africa","Cabo Verde","1983-01-01",325,"Female"
"Africa","Cabo Verde","1983-01-01",282,"Female"
"Africa","Cabo Verde","1983-02-01",274,"Female"
"Africa","Cabo Verde","1983-02-01",238,"Female"
"Africa","Cabo Verde","1983-03-01",270,"Female"
"Africa","Cabo Verde","1983-03-01",234,"Female"
"Africa","Cabo Verde","1983-04-01",264,"Female"
"Africa","Cabo Verde","1983-04-01",230,"Female"
"Africa","Cabo Verde","1983-05-01",247,"Female"
"Africa","Cabo Verde","1983-05-01",215,"Female"
"Africa","Cabo Verde","1983-06-01",232,"Female"
"Africa","Cabo Verde","1983-06-01",202,"Female"
"Africa","Cabo Verde","1983-07-01",229,"Female"
"Africa","Cabo Verde","1983-07-01",199,"Female"
"Africa","Cabo Verde","1983-08-01",269,"Female"
"Africa","Cabo Verde","1983-08-01",234,"Female"
"Africa","Cabo Verde","1983-09-01",329,"Female"
"Africa","Cabo Verde","1983-09-01",286,"Female"
"Africa","Cabo Verde","1983-10-01",283,"Female"
"Africa","Cabo Verde","1983-10-01",246,"Female"
"Africa","Cabo Verde","1983-11-01",267,"Female"
"Africa","Cabo Verde","1983-11-01",232,"Female"
"Africa","Cabo Verde","1983-12-01",274,"Female"
"Africa","Cabo Verde","1983-12-01",239,"Female"
"Africa","Cabo Verde","1984-01-01",300,"Female"
"Africa","Cabo Verde","1984-01-01",262,"Female"
"Africa","Cabo Verde","1984-02-01",270,"Female"
"Africa","Cabo Verde","1984-02-01",236,"Female"
"Africa","Cabo Verde","1984-03-01",284,"Female"
"Africa","Cabo Verde","1984-03-01",249,"Female"
"Africa","Cabo Verde","1984-04-01",270,"Female"
"Africa","Cabo Verde","1984-04-01",237,"Female"
"Africa","Cabo Verde","1984-05-01",279,"Female"
"Africa","Cabo Verde","1984-05-01",244,"Female"
"Africa","Cabo Verde","1984-06-01",237,"Female"
"Africa","Cabo Verde","1984-06-01",207,"Female"
"Africa","Cabo Verde","1984-07-01",269,"Female"
"Africa","Cabo Verde","1984-07-01",235,"Female"
"Africa","Cabo Verde","1984-08-01",266,"Female"
"Africa","Cabo Verde","1984-08-01",233,"Female"
"Africa","Cabo Verde","1984-09-01",300,"Female"
"Africa","Cabo Verde","1984-09-01",262,"Female"
"Africa","Cabo Verde","1984-10-01",284,"Female"
"Africa","Cabo Verde","1984-10-01",249,"Female"
"Africa","Cabo Verde","1984-11-01",279,"Female"
"Africa","Cabo Verde","1984-11-01",244,"Female"
"Africa","Cabo Verde","1984-12-01",277,"Female"
"Africa","Cabo Verde","1984-12-01",242,"Female"
"Africa","Cabo Verde","1985-01-01",310,"Female"
"Africa","Cabo Verde","1985-01-01",273,"Female"
"Africa","Cabo Verde","1985-02-01",262,"Female"
"Africa","Cabo Verde","1985-02-01",230,"Female"
"Africa","Cabo Verde","1985-03-01",280,"Female"
"Africa","Cabo Verde","1985-03-01",246,"Female"
"Africa","Cabo Verde","1985-04-01",257,"Female"
"Africa","Cabo Verde","1985-04-01",226,"Female"
"Africa","Cabo Verde","1985-05-01",257,"Female"
"Africa","Cabo Verde","1985-05-01",226,"Female"
"Africa","Cabo Verde","1985-06-01",219,"Female"
"Africa","Cabo Verde","1985-06-01",193,"Female"
"Africa","Cabo Verde","1985-07-01",258,"Female"
"Africa","Cabo Verde","1985-07-01",227,"Female"
"Africa","Cabo Verde","1985-08-01",240,"Female"
